BUGID,ROLD-DATE,RFIX-DATE,FIXER,INDUCERS
63397,2009-08-25 12:10:32,2016-05-13 16:19:38,Keith Packard,Keith Packard;Dave Airlie;Eric Anholt;Zhigang Gong;
18065,2008-04-28 21:00:54,2008-11-08 01:25:14,Michel Dänzer,Owen Taylor;
49347,2011-12-14 12:46:40,2012-11-19 21:04:57,Yuly Novikov,Keith Packard;Daniel Stone;
2880,2003-11-14 16:48:57,2005-08-22 21:29:18,Kevin E Martin,Kaleb Keithley;
24621,2008-04-16 19:15:30,2009-10-20 12:57:05,Jon TURNEY,Daniel Stone;
24986,2009-07-27 16:54:33,2010-05-07 17:02:43,Chris Humbert,Peter Hutterer;
9275,2006-03-22 22:49:52,2007-01-19 17:54:03,Michel Dänzer,Kristian Høgsberg;
32115,2010-09-02 14:30:11,2010-12-06 14:33:43,Peter Hutterer,Peter Hutterer;
24060,2009-04-08 14:17:40,2009-09-28 15:07:48,Peter Hutterer,Eric Anholt;
33324,2006-06-28 15:59:01,2011-01-23 13:35:54,Julien Cristau,Julien Cristau;Kristian Høgsberg;
3168,2008-06-24 14:37:06,2009-02-26 17:32:10,Benjamin Close,Adam Jackson;
2750,2003-11-14 15:54:54,2005-03-23 21:03:41,Thomas Hellstrom,Kaleb Keithley;
12520,2007-09-03 13:14:29,2007-09-27 13:08:40,Michel Dänzer,Michel Dänzer;
39545,2007-08-08 13:10:00,2011-07-28 15:56:08,Peter Hutterer,Peter Hutterer;
16204,2007-05-24 11:01:15,2008-06-04 13:39:39,Peter Hutterer,Luo Jie;
37801,2009-06-12 11:30:53,2011-06-01 10:24:43,Peter Hutterer,Peter Hutterer;
2879,2003-11-14 15:54:54,2005-04-26 06:12:07,Roland Mainz,Egbert Eich;Roland Mainz;Kaleb Keithley;
94589,2014-03-11 16:11:39,2016-03-17 14:39:45,Olivier Fourdan,Kristian Høgsberg;
25804,2004-08-31 16:33:05,2012-07-30 14:32:09,Vic Lee,Dodji Seketeli;Adam Jackson;Matthew Allum;Andrew Christan;
