BUGID,ROLD-DATE,RFIX-DATE,FIXER,INDUCERS
92313,2014-12-16 01:59:03,2016-02-04 14:06:43,Jan Burgmeier,Keith Packard;
20087,2008-10-09 11:29:11,2009-02-23 09:28:26,Adam Tkac,Peter Hutterer;
16145,2003-11-14 15:54:54,2008-05-30 15:20:35,Peter Hutterer,Peter Hutterer;Eamon Walsh;Kaleb Keithley;
66720,2003-11-14 15:54:54,2013-07-09 13:27:19,Peter Hutterer,Peter Hutterer;Kaleb Keithley;
24685,2009-07-06 12:06:47,2009-10-23 19:32:42,Jon TURNEY,Peter Hutterer;
33140,2006-07-19 16:51:04,2016-02-12 14:17:59,Laércio de Sousa,Tiago Vignatti;Peter Hutterer;Laércio de Sousa;Daniel Stone;
71190,2012-01-18 19:21:36,2014-04-23 18:54:43,Zhigang Gong,Axel Davy;Zhigang Gong;
52202,2014-03-05 16:41:14,2015-10-19 15:42:30,Julien Cristau,Peter Hutterer;Hans de Goede;
28365,2009-04-09 14:38:24,2013-06-17 15:51:19,Eric Anholt,Ian Romanick;
53897,2011-05-11 13:56:08,2012-08-22 10:34:07,Peter Hutterer,Peter Hutterer;
20081,2006-10-14 15:54:12,2009-02-13 09:56:22,Peter Hutterer,Daniel Stone;
35209,2007-05-28 21:44:59,2011-03-15 13:20:03,Peter Hutterer,Branden Robinson;Peter Hutterer;
15614,2007-12-05 19:37:48,2008-04-22 13:30:03,Egbert Eich,Daniel Stone;
89023,2013-06-04 14:39:33,2015-05-05 15:54:20,Peter Hutterer,Peter Hutterer;
93675,2003-11-14 16:48:57,2016-09-23 15:03:34,Kyle Guinn,Kaleb Keithley;
23329,2004-06-25 08:58:18,2009-08-18 21:13:40,Jesse Adkins,Alexander Gottwald;
66851,2012-08-27 15:22:44,2014-04-03 11:19:13,Laércio de Sousa,Dave Airlie;
33929,2009-08-01 19:19:19,2011-02-24 12:17:57,Michel Dänzer,Michel Dänzer;Maarten Maathuis;
71088,2012-06-27 12:53:40,2013-11-06 10:25:27,Maarten Lankhorst,Zhigang Gong;
23562,2006-12-15 15:50:46,2009-09-03 14:17:14,Peter Hutterer,Eamon Walsh;
21827,2008-12-07 02:22:19,2010-12-13 18:35:20,David Barksdale,Paulo Cesar Pereira de Andrade;
29669,2009-06-18 14:40:20,2010-08-23 13:20:09,Peter Hutterer,Peter Hutterer;
3001,2003-11-14 15:54:54,2005-04-13 00:05:37,Roland Mainz,Egbert Eich;Roland Mainz;Kaleb Keithley;
62259,2011-11-02 13:44:50,2013-03-13 18:49:32,Armin K,Zhigang Gong;
10809,2004-06-16 09:25:15,2007-08-23 19:38:53,Brian Paul,Eric Anholt;Kristian Høgsberg;
27804,2008-11-14 15:27:19,2010-07-15 13:24:14,Peter Hutterer,Peter Hutterer;
60514,2010-05-20 19:24:47,2013-02-08 15:56:01,Bryce Harrington,Tiago Vignatti;Keith Packard;Anssi Hannula;
80001,2009-06-23 16:45:39,2014-06-18 11:14:43,Chris Wilson,Dave Airlie;Michel Dänzer;
2821,2003-11-14 15:54:54,2005-03-25 23:11:14,Roland Mainz,Roland Mainz;Kaleb Keithley;
26394,2008-02-04 11:58:24,2010-04-16 05:55:34,Kristian Høgsberg,Jesse Barnes;Paulo Cesar Pereira de Andrade;Mario Kleiner;Kristian Høgsberg;Tomas Carnecky;
48069,2009-05-26 14:42:25,2012-03-29 18:06:03,Chase Douglas,Keith Packard;Peter Hutterer;
14611,2007-07-19 13:26:36,2010-02-15 14:18:00,Simon Farnsworth,Keith Packard;
96937,2009-08-28 11:39:42,2016-07-25 16:12:53,Emily Deng,Dave Airlie;
79939,2013-02-21 09:02:44,2015-01-12 17:10:02,Vicente Olivert Riera,Marcin Slusarz;
31636,2011-03-02 16:30:30,2013-01-11 14:22:07,Peter Hutterer,Peter Hutterer;Daniel Stone;
20742,2004-04-23 19:54:30,2013-02-08 15:56:02,Bryce Harrington,Egbert Eich;
4341,2003-11-25 19:29:01,2006-03-03 09:54:54,Alan Hourihane,Alexander Gottwald;Kaleb Keithley;
94515,2003-11-14 15:54:54,2016-03-13 13:54:01,Chris Wilson,Keith Packard;Olivier Fourdan;Kaleb Keithley;
94514,2013-12-18 12:18:20,2016-05-24 18:12:42,Michel Dänzer,Eric Anholt;
66862,2012-08-13 14:44:44,2015-02-05 20:29:48,Jon TURNEY,Peter Hutterer;
16243,2007-08-30 13:44:20,2008-06-06 11:01:03,Michel Dänzer,Michel Dänzer;
24300,2009-05-18 17:53:35,2009-11-30 13:17:52,Michel Dänzer,Michel Dänzer;
3254,2003-11-14 15:54:54,2005-10-09 23:47:52,Alan Coopersmith,Kaleb Keithley;
54080,2007-08-01 18:13:18,2014-12-02 14:52:35,Adam Jackson,Adam Jackson;Michel Dänzer;Kristian Høgsberg;
26843,2003-11-14 15:54:54,2010-03-23 14:35:56,Peter Hutterer,Peter Hutterer;Kaleb Keithley;
73155,2012-10-11 16:03:33,2014-04-02 13:55:10,Peter Hutterer,Peter Hutterer;
23213,2007-08-01 01:10:50,2009-08-14 09:48:45,Peter Hutterer,Sascha Hlusiak;Rémi Cardona;Daniel Stone;Alan Coopersmith;
50281,2003-11-14 16:48:57,2013-02-10 10:24:59,Alan Coopersmith,Mikhail Gusarov;Kristian Høgsberg;Kaleb Keithley;
16805,2008-05-14 14:49:09,2008-12-01 16:57:06,Peter Hutterer,Tiago Vignatti;
1068,2003-11-14 16:48:57,2005-08-13 00:11:28,Alan Coopersmith,Daniel Stone;Kaleb Keithley;
27497,2003-11-14 15:54:54,2010-05-15 12:31:34,Jamey Sharp,Alexander Gottwald;Keith Packard;Matthew Allum;Stuart Kreitman;Jamey Sharp;Kaleb Keithley;
93539,2008-12-19 21:05:47,2015-12-29 23:41:27,Andrew Comminos,Keith Packard;Peter Hutterer;
69573,2012-04-09 20:16:07,2013-11-02 00:08:11,Zhigang Gong,Zhigang Gong;
18668,2003-11-14 15:54:54,2009-02-02 10:20:13,Peter Hutterer,Peter Hutterer;Kaleb Keithley;
